,48,56,69,71,89,113,115,117,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,197
143,0,0,0,0,0,0,0,0,0,0.0079,0,0.02,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.015,0,0.15,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0.014,0.005,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0.024,0,0.1,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0.009,0.007,0.026,0,0.037,0,0.003,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0.002,0.001,0.003,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.02,0.005,0.002,0,0.004,0,0.002,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.02,0,0.15,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0.005,0.003,0.005,0.002,0.007,0,0,0.023,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0.05,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0.008,0,0.044,0,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
150,0,0,0,0,0,0,0,0,0,0.005,0.003,0.007,0.002,0.005,0,0.003,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0,0,0.025,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.035,0.04,0,0,0,0,0,0,0
